LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.3319643,42.951831,0103,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000032,92b4ff3ac631de7d
-71.3321302,42.9523868,0093,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000033,19755f71f957d1c1
-71.3365664,42.9501098,0006,WELLESLEY CIRCLE,,AUBURN,,NH,03032,000002000003000064,3bde0fb4b3eb9aa6
-71.3374439,42.9507097,0016,WELLESLEY CIRCLE,,AUBURN,,NH,03032,000002000003000063,3d136f053d9b6dd4
-71.3381743,42.9502912,0020,WELLESLEY CIRCLE,,AUBURN,,NH,03032,000002000003000062,45d0180f0be4b4fa
-71.3383353,42.9496624,0022,WELLESLEY CIRCLE,,AUBURN,,NH,03032,000002000003000061,7a3dcf271990d483
-71.3373567,42.9492324,0009,WELLESLEY CIRCLE,,AUBURN,,NH,03032,000002000003000060,4d8c6883c3c33dd9
-71.3334462,42.9532948,0080,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000003000056,ffc421407f2b62fb
-71.333213,42.9538229,0072,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000003000057,5bcfad60113c5e34
-71.3328251,42.9543234,0064,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000003000058,1d5e820dffb4328d
-71.3322816,42.9548306,0056,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000003000059,7e7e03135a78cff8
-71.3380165,42.945339,0225,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000024,35a368da80823a57
-71.3376632,42.9458234,0217,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000025,5393f424ec895c2f
-71.3377643,42.9462652,0209,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000026,1d6efaf4d5b2cc9d
-71.3370539,42.9468241,0195,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000027,15551e011dcbef0d
-71.33676,42.9475413,0187,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000009000028,20a7ff97dbd061f5
-71.3376534,42.9429594,0008,WINCHESTER WAY,,AUBURN,,NH,03032,000002000009000002,1dc0816bd24457ae
-71.3413848,42.9421395,,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000014000000,cc7f42a77c1c63ad
-71.3347255,42.9522234,0100,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000003000004,36c10442d7ab0e78
-71.3344461,42.9509673,0108,STEAM MILL ROAD,,AUBURN,,NH,03032,000002000010000000,29ea680d442aeef1
-71.3137449,42.9371776,0035,BOXWOOD DRIVE,,AUBURN,,NH,03032,000002000044000009,e7d30fff9b9cc600
-71.312541,42.9377925,0033,BOXWOOD DRIVE,,AUBURN,,NH,03032,000002000044000008,0675757601828292
-71.3149559,42.9388534,0036,BOXWOOD DRIVE,,AUBURN,,NH,03032,000002000044000007,f628183a6c50460b
